White Win %,Black Win %,Moves,Number of moves
41.10%,35.90%,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.Bc4,4
41.00%,33.40%,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.c4 Nb6 5.exd6,5
40.20%,39.50%,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.c4 Nb6 5.f4,5
42.30%,32.90%,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.c4 Nb6 5.f4 dxe5 6.fxe5 Nc6 7.Be3,7
35.50%,41.90%,1.e4 Nf6 2.e5 Nd5 3.c4 Nb6 4.c5 Nd5 5.Nc3 e6 6.Bc4,6
37.10%,39.90%,1.e4 Nf6 2.d3,2
44.90%,24.50%,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.Nf3,4
38.10%,40.30%,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.Nf3 Bg4 5.c4 Nb6 6.Be2,6
46.70%,17.30%,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.Nf3 g6 5.Bc4 Nb6 6.Bb3 Bg7 7.a4,7
44.50%,34.80%,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.Nf3 Bg4 5.h3,5
39.50%,33.60%,1.e4 Nf6 2.e5 Nd5 3.Nc3,3
38.40%,46.80%,1.e4 Nf6 2.Nc3 d5 3.e5 Nfd7 4.e6,4
37.10%,44.80%,1.e4 Nf6 2.e5 Nd5 3.c4 Nb6 4.b3,4
38.60%,45.90%,1.e4 Nf6 2.e5 Nd5 3.c4,3
34.60%,36.70%,1.e4 Nf6 2.e5 Nd5 3.c4 Nb6 4.c5,4
46.40%,37.00%,1.Nh3,1
42.10%,37.50%,1.a3,1
40.60%,47.40%,1.f3,1
38.60%,38.60%,1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.bxa6 g6 6.Nc3 Bxa6 7.f4,7
42.20%,33.10%,1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.f3,5
42.50%,29.30%,1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.bxa6 Bxa6 6.Nc3 g6 7.Nf3 d6 8.g3 Bg7 9.Bg2,9
39.00%,34.00%,1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.bxa6,5
44.00%,26.30%,1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.bxa6 Bxa6 6.Nc3 d6 7.e4 Bxf1 8.Kxf1 g6 9.g3 Bg7 10.Kg2 O-O 11.Nf3,11
46.00%,29.30%,1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.e3,5
40.00%,34.80%,1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.b6,5
38.80%,40.80%,1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.bxa6 Bxa6 6.Nc3 d6 7.e4 Bxf1 8.Kxf1 g6 9.Nge2,9
40.20%,35.10%,1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.bxa6 Bxa6 6.Nc3 d6 7.e4,7
41.80%,31.30%,1.d4 Nf6 2.c4 c5 3.d5 b5 4.Bg5,4
45.90%,28.20%,1.d4 Nf6 2.c4 c5 3.d5 b5 4.Nf3,4
44.20%,40.20%,1.d4 Nf6 2.c4 c5 3.d5 b5 4.f3,4
44.00%,33.00%,1.d4 Nf6 2.c4 c5 3.d5 b5 4.Nd2,4
37.30%,38.20%,1.d4 Nf6 2.c4 c5 3.d5 b5 4.a4,4
32.70%,48.70%,1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.Nc3,5
37.90%,45.80%,1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.Nc3 axb5 6.e4 b4 7.Nb5,7
32.50%,46.40%,1.d4 c5 2.dxc5,2
45.90%,27.70%,1.d4 c5 2.d5 Nf6 3.Nf3,3
46.60%,33.00%,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.Nf3 Bg7 8.Bg5,8
44.60%,28.10%,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.Nf3 Bg7 8.Be2 O-O 9.O-O Re8 10.Nd2 Na6 11.f3,11
43.50%,32.20%,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.Nf3 Bg7 8.Be2 O-O 9.O-O Re8 10.Nd2,10
42.50%,35.10%,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.Nf3 Bg7 8.Be2 O-O 9.O-O a6 10.a4,10
36.00%,40.90%,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.Nf3,7
