00206,r3kb1r/pppqpn1p/5p2/3p1bpQ/2PP4/4P1B1/PP3PPP/RN2KB1R w KQkq - 1 11,b1c3 f5g4 h5g4 d7g4,1543,75,96,20992,advantage opening short trappedPiece,https://lichess.org/MbJRo6PT#21,Queens_Pawn_Game Queens_Pawn_Game_Accelerated_London_System
002Tf,r3kbnr/ppp1qppp/2n5/3pP3/5B2/4PQ2/PPP2PPP/RN2KB1R w KQkq - 1 7,f1b5 e7b4 b1c3 b4b2,1590,75,85,159,advantage fork opening short,https://lichess.org/Zq56PwHK#13,Queens_Pawn_Game Queens_Pawn_Game_Chigorin_Variation
003YT,r1bqk1nr/1pp2ppp/p1pb4/4p3/3PP3/5N2/PPP2PPP/RNBQ1RK1 b kq - 0 6,d8f6 d4e5 d6e5 c1g5 f6d6 f3e5 d6d1 f1d1,1729,167,-60,14,advantage fork opening veryLong,https://lichess.org/TAffogpQ/black#12,Ruy_Lopez Ruy_Lopez_Exchange_Variation
003o0,r1bqk2r/pp1nbppp/3p4/1B1p4/3P1B2/8/PPP2PPP/R2QK1NR w KQkq - 2 9,g1f3 d8a5 d1d2 a5b5,1075,77,90,636,advantage fork master opening short,https://lichess.org/Ae0t9V1Z#17,Czech_Defense Czech_Defense_Other_variations
0045Q,rnbqkb1r/pppp2pp/8/4P3/2B5/4p3/PPPP2PP/R1BQK1NR w KQkq - 0 7,d1f3 d8h4 e1d1 h4c4,1397,80,97,19148,advantage fork opening short,https://lichess.org/fTegzZIT#13,Vienna_Game Vienna_Game_Other_variations
005jJ,r1b1qrk1/pp1n1pbp/2pp1np1/4p3/2PP1B2/2NBPN1P/PP3PP1/R2Q1RK1 w - - 0 10,d4e5 d6e5 f4h2 e5e4,1281,87,69,25,advantage opening short,https://lichess.org/wt6Q2xGb#19,Queens_Pawn_Game Queens_Pawn_Game_Other_variations
008D5,r1bqk2r/pp3ppp/4p2n/3pP3/1b1P1P2/2N5/PP4PP/R1BQKB1R b KQkq - 2 9,h6f5 d1a4 c8d7 a4b4,1401,75,79,1172,advantage fork master opening short,https://lichess.org/jIGC2FuP/black#18,French_Defense French_Defense_La_Bourdonnais_Variation
0092V,r2qk1nr/ppp3pp/2n5/1B1pp3/1b1P4/5Q1P/PP1B1PP1/RN2K2R b KQkq - 3 11,e5e4 b5c6 b7c6 f3h5 g7g6 h5e5,2088,87,87,43,crushing exposedKing long opening,https://lichess.org/bW5LiCa5/black#22,Ponziani_Opening Ponziani_Opening_Other_variations
009FS,r2qr1k1/p5bp/1pp1b1p1/8/2QN1p2/2P1n2P/PP3PP1/R1B1RNK1 w - - 1 18,d4e6 e3c4 e6d8 e8e1,1749,75,76,122,crushing discoveredAttack opening short,https://lichess.org/MOdm5bE7#35,Sicilian_Defense Sicilian_Defense_Closed
009XT,rn1qk2r/pp3ppp/3bp1b1/3p4/3Pn2N/3BB3/PPP2PPP/RN1Q1RK1 w kq - 4 10,h4g6 d6h2 g1h1 h7g6,2098,73,93,10396,crushing intermezzo opening short,https://lichess.org/bf23N8Ng#19,Caro-Kann_Defense Caro-Kann_Defense_Exchange_Variation
00AVR,br1qkb1r/p1pp1ppp/4Pn2/6B1/3Qn3/5NP1/P3PPBP/RN1R2K1 b k - 0 15,d7e6 d4a4 d8d7 d1d7,1783,75,74,67,crushing opening short,https://lichess.org/KxeQFmHl/black#30,Zukertort_Opening Zukertort_Opening_Black_Mustang_Defense
00C3O,r2qkbnr/pp4pp/2p2p2/4n2b/2B1P3/2N2N2/PPP3PP/R1BQ1RK1 w kq - 0 10,d1e2 h5f3 g2f3 d8d4,2101,74,94,814,crushing kingsideAttack opening short,https://lichess.org/F4Vo1eZG#19,Kings_Gambit Kings_Gambit_Other_variations
00EbJ,r2q1rk1/ppp2ppp/2nbb3/8/6n1/2NPBN2/PPP1BPPP/R2QK2R w KQ - 5 9,f3g5 g4e3 f2e3 d8g5,1209,92,53,71,capturingDefender crushing opening short,https://lichess.org/wlZv7BWx#17,Scandinavian_Defense Scandinavian_Defense_Modern_Variation
00Htd,rnbqk2r/1p3ppp/p4b2/2Pp4/8/2N2N2/PP2PPPP/R2QKB1R w KQkq - 0 9,d1d5 f6c3 b2c3 d8d5,997,90,93,915,crushing intermezzo opening short,https://lichess.org/ZWQwqa9S#17,Tarrasch_Defense Tarrasch_Defense_Two_Knights_Variation
00IYH,rnbq1rk1/ppp2pp1/3p1n1p/2b1p2N/2B1P3/3P4/PPP2PPP/RNBQ1RK1 b - - 2 7,c8g4 h5f6 d8f6 d1g4,1053,82,93,2209,advantage kingsideAttack opening short,https://lichess.org/D9n0j4f5/black#14,Kings_Pawn_Game Kings_Pawn_Game_Alapin_Opening
00JYV,r2q1rk1/p1p1bppp/2pp1nb1/4p3/4P1PN/2NP3P/PPP2PK1/R1BQ1R2 b - - 4 11,f6e4 h4g6 e4c3 g6e7 d8e7 b2c3,1699,74,96,7209,advantage kingsideAttack long opening,https://lichess.org/rJrzfvfs/black#22,Ruy_Lopez Ruy_Lopez_Steinitz_Defense
00K8j,r2q2kr/p4pp1/4b2p/n1Qn4/5B2/4P3/PP3PPP/2KR1BNR w - - 1 14,f4c7 d8c7 c5c7 d5c7,1438,75,86,195,advantage opening short,https://lichess.org/AiNXhpcc#27,Queens_Gambit_Declined Queens_Gambit_Declined_Queens_Knight_Variation
00KUa,r1bk1bnr/pppp1Bpp/8/3Nq3/3nP3/3P4/PPP2PPP/R1BQK2R b KQ - 0 8,g8f6 c1f4 e5f4 d5f4,1555,161,-100,11,crushing opening short trappedPiece,https://lichess.org/QBzgVaj1/black#16,Italian_Game Italian_Game_Blackburne-Kostic_Gambit
00Knu,r2q1rk1/p3bpp1/2pp1nb1/4p1Q1/8/1B3N1P/PPP3P1/R1B2RK1 b - - 0 18,f6e4 g5g6 d8b6 g1h2,1852,79,74,63,advantage defensiveMove opening pin short,https://lichess.org/ICZqsNVs/black#36,Czech_Defense Czech_Defense_Other_variations
00LZf,r1b1kb1r/pppp1ppp/2n1p3/3nN3/3P2q1/4B3/PPP1BPPP/RN1Q1RK1 b kq - 9 8,d5e3 f2e3 g4g5 e5f7 g5e3 g1h1,2184,90,25,31,advantage attackingF2F7 fork long opening,https://lichess.org/sVgQxr8Q/black#16,French_Defense French_Defense_Normal_Variation
00LZl,r2qkb1r/ppp2ppp/2n5/3pPb2/3n1B2/2NB1N2/PP3PPP/R2QK2R b KQkq - 3 9,f8b4 f3d4 c6d4 d1a4 d4c6 d3f5,2229,78,94,3563,advantage deflection fork long opening,https://lichess.org/jBb2kj01/black#18,Kings_Pawn_Game Kings_Pawn_Game_Macleod_Attack
00M7w,r1b1k2r/ppp2ppp/2n5/2bBp3/2Pq4/3P1QP1/P2B1P1P/1R2K1NR b Kkq - 2 12,f7f6 g1e2 d4f2 f3f2 c5f2 e1f2,2320,78,90,1698,crushing long opening,https://lichess.org/rhyiYyX3/black#24,Scandinavian_Defense Scandinavian_Defense_Main_Line
00Nf5,r1bq1rk1/pp2bppp/2pp1n2/8/5P2/5N2/PBPPB1PP/RN1Q1RK1 w - - 5 11,b1c3 d8b6 g1h1 b6b2 a1b1 b2a3,1653,74,94,5304,advantage fork long opening,https://lichess.org/JkE5qS7u#21,Polish_Opening Polish_Opening_Other_variations
00Or5,r2qkbnr/pp5p/8/4Nb2/3p4/1QN5/PP2PPPP/R3KB1R b KQkq - 1 12,d4c3 b3f7,1466,97,51,226,mate mateIn1 oneMove opening,https://lichess.org/29LGsamW/black#24,Slav_Defense Slav_Defense_Other_variations
00QZ3,r1bq3r/ppppnkpp/2n5/b5N1/4P3/B1P5/P4PPP/RN1QK2R b KQ - 1 9,f7f8 d1f3 f8e8 f3f7,1194,78,91,1405,mate mateIn2 opening short,https://lichess.org/PiCJ1gmH/black#18,Scotch_Game Scotch_Game_Scotch_Gambit
00Qnn,r1bqkb1r/ppp1n1p1/7p/3Pp1N1/2P5/8/PP3PPP/RNBQK2R w KQkq - 0 11,d1h5 g7g6 h5e2 h6g5,1531,241,100,7,defensiveMove equality opening short,https://lichess.org/bvZx0hh4#21,
00R0l,rnbqkb1r/pp3p1p/6pP/P1ppp3/6n1/3P1P2/1PP1P1P1/RNBQKBNR b KQkq - 0 7,g4h6 c1h6 f8h6 h1h6,1394,76,86,1420,advantage opening short,https://lichess.org/y06s0jL8/black#14,Ware_Opening Ware_Opening_Other_variations
00RoG,2kr2nr/pp2nppp/2pp4/2b2PP1/4NPq1/3B1R2/PPP4P/R2QB2K w - - 5 18,h2h3 g4g1,1155,81,93,539,mate mateIn1 oneMove opening,https://lichess.org/rOjlXCXv#35,Scotch_Game Scotch_Game_Other_variations
00Rue,r2qkb1r/pp1nppp1/2p2n1p/3p1b2/3P4/BP2PN2/P1P2PPP/RN1QKB1R w KQkq - 2 7,c2c4 f5b1 a1b1 d8a5 b3b4 a5a3,1852,73,96,11662,advantage fork long opening,https://lichess.org/tgFzBrLu#13,Nimzo-Larsen_Attack Nimzo-Larsen_Attack_Classical_Variation
00SLR,rnbqk1nr/ppppbppp/4p3/8/5P2/5N2/PPPPP1PP/RNBQKB1R w KQkq - 2 3,g2g4 e7h4 f3h4 d8h4,784,86,92,284,mate mateIn2 opening short,https://lichess.org/jqepvLa0#5,Bird_Opening Bird_Opening_Other_variations
00SyL,1rb2rk1/4bppp/p1n1p3/1p1qP3/7N/P5P1/1PQ2PBP/R1B2RK1 b - - 1 15,d5c5 c2c5 e7c5 g2c6,1312,77,91,5661,capturingDefender crushing opening short,https://lichess.org/f988q4eE/black#30,Sicilian_Defense Sicilian_Defense_Old_Sicilian
00TxB,r2qkb1r/pp3ppp/2pp1nn1/8/4PB2/2N2B2/PPP2PPP/R2Q1RK1 w kq - 2 10,f1e1 g6f4,922,80,95,2073,advantage hangingPiece oneMove opening,https://lichess.org/J5i5UOW9#19,Philidor_Defense Philidor_Defense_Other_variations
00WUu,r3k1nr/pp3ppp/1q2b3/8/1n1p4/6P1/PB1QPPBP/R3K1NR w KQkq - 0 13,b2d4 b6d4 d2d4 b4c2 e1f1 c2d4,1563,76,88,1073,attraction crushing fork long opening sacrifice,https://lichess.org/lxJ3tlcz#25,Queens_Gambit_Declined Queens_Gambit_Declined_Tarrasch_Defense
00WmI,1nbqkbnr/r4ppp/p7/1ppB4/8/2NP4/PPP2PPP/R1BQK1NR w KQk - 1 8,c1e3 b5b4,1375,77,70,137,advantage oneMove opening,https://lichess.org/Xj2zo6H9#15,Sicilian_Defense Sicilian_Defense_Bowdler_Attack
00WsE,r2qkb1r/1Q1npppp/p2pb3/8/4P3/5N2/PPP2PPP/R1B1KB1R w KQkq - 1 9,f1a6 d8a5 b2b4 a5a6 b7a6 a8a6,1407,85,62,45,advantage long opening,https://lichess.org/rbi2PN9x#17,Sicilian_Defense Sicilian_Defense_Modern_Variations
00Y5Q,rnbq1rk1/pp2b2p/4p2p/3p1p1Q/2pP4/P1N5/1PP1PPPP/2KR1BNR w - - 0 11,h5h6 e7g5 h6g5 d8g5,885,82,94,794,crushing fork opening short,https://lichess.org/56Atk60f#21,Richter-Veresov_Attack Richter-Veresov_Attack_Other_variations
00ZAn,rnbqk1nr/ppp1b1pp/3p4/4p3/2B1P3/5N2/PPPP2PP/RNBQK2R w KQkq - 0 6,f3e5 d6e5 d1h5 g7g6 h5e5 g8f6,1772,75,83,136,advantage hangingPiece long opening,https://lichess.org/uS929Njx#11,Kings_Gambit Kings_Gambit_Other_variations
00ZK8,r1bq1b1r/pp3kpp/3p1n2/3Q4/2n1P3/5N2/PP3PPP/RNB1K2R b KQ - 1 10,c8e6 f3g5 f7g6 d5e6,2393,75,82,325,advantage deflection opening short,https://lichess.org/NOQlRyAF/black#20,Sicilian_Defense Sicilian_Defense_Old_Sicilian
00bmj,r2q1k1r/p1p2ppp/1p6/8/3n2b1/1Q3NP1/PP1N1PP1/3RKB1R w K - 2 15,b3b4 c7c5 b4c4 d8e7 f1e2 b6b5 c4d3 g4f5 d3d4 c5d4,2446,83,38,94,advantage defensiveMove opening pin veryLong,https://lichess.org/FrYWZCWt#29,Queens_Pawn_Game Queens_Pawn_Game_London_System
00d1o,r2qk1nr/pbpp1pbp/1p2p1p1/3Pn3/2P1P3/3B1N2/PP3PPP/RNBQ1RK1 w kq - 0 8,c1g5 e5f3 d1f3 d8g5,1116,77,92,689,crushing kingsideAttack opening short,https://lichess.org/Twrqm0Jp#15,English_Defense English_Defense_Other_variations
00euQ,r1b1k1nr/pppp1ppp/5q2/2b1n3/4P3/2N2N2/PPPP2PP/R1BQKB1R w KQkq - 0 6,f3e5 f6f2,1049,76,100,540,mate mateIn1 oneMove opening,https://lichess.org/srPCKrEj#11,Vienna_Gambit_with_Max_Lange_Defense Vienna_Gambit_with_Max_Lange_Defense_Other_variations
00fwM,Qn1qk2r/p4ppp/2p5/2bn4/4pPb1/2N5/PPPP2PP/R1B1KBNR w KQk - 1 9,h2h3 d8h4 g2g3 h4g3,1366,75,93,744,mate mateIn2 opening short,https://lichess.org/REHlrlvo#17,Kings_Gambit_Declined Kings_Gambit_Declined_Falkbeer_Countergambit
00isY,rnbqkb1r/ppp3pp/5n2/3P1p2/4pB2/2N5/PP3PPP/R2QKBNR b KQkq - 0 7,f8b4 d1a4 c7c6 a4b4,1408,75,95,9756,crushing fork master opening short,https://lichess.org/1q2x0Fv6/black#14,Blackmar-Diemer_Gambit Blackmar-Diemer_Gambit_Other_variations
00k6k,r2q1rk1/p1p1bpp1/2p1bn1p/8/2Pp3B/1PNBPP2/P5PP/R2Q1RK1 w - - 0 14,e3d4 d8d4 h4f2 d4c3,1030,76,84,194,advantage fork opening short,https://lichess.org/JsKisVgT#27,English_Opening English_Opening_Kings_English_Variation
00mKK,r1bq1k1r/pp3pbp/4Pnp1/nB6/8/2N2N2/PP3PPP/R1BQR1K1 b - - 0 13,d8d1 e6e7 f8g8 e1d1,1908,75,80,132,advancedPawn crushing intermezzo opening short,https://lichess.org/8r5AZVRA/black#26,Caro-Kann_Defense Caro-Kann_Defense_Accelerated_Panov_Attack
00rva,r2qkb1r/pQpbpppp/2n2n2/1N6/2pP4/8/PP2PPPP/R1B1KBNR b KQkq - 2 7,a8b8 b5c7 d8c7 b7c7,1111,76,96,7574,crushing opening short,https://lichess.org/14QnOxb7/black#14,Queens_Gambit_Declined Queens_Gambit_Declined_Marshall_Defense
00s16,rBbqk2r/1p3ppp/p3pn2/8/1b1P4/2N2N1P/PP3PP1/R2QKB1R b KQkq - 0 10,a8b8 d1a4 b7b5 a4b4,1245,76,90,669,crushing fork opening short,https://lichess.org/sflO7yGm/black#20,Caro-Kann_Defense Caro-Kann_Defense_Panov_Attack
00s23,r2q1rk1/1ppb1ppp/1p1p1n2/4p3/1PBnP3/P2P1N1P/2P2PP1/R1BQK2R w KQ - 0 11,c2c3 d7a4 c3d4 a4d1,1735,77,71,168,advantage opening short,https://lichess.org/5BuuOtXQ#21,Four_Knights_Game Four_Knights_Game_Italian_Variation
00tdc,r1bqk1nr/ppppbppp/2n5/8/2P5/4Q3/PP2PPPP/RNB1KBNR w KQkq - 3 5,e3c3 e7b4 c1d2 b4c3,991,81,62,104,crushing opening pin short,https://lichess.org/u6d3aV84#9,English_Opening English_Opening_Kings_English_Variation
00u3b,rn2kb1r/pbqp1ppp/1p2p3/3nP3/2BP4/5N2/PP2QPPP/RNB1K2R w KQkq - 0 9,b1c3 d5c3 b2c3 b6b5 a1b1 b5c4,2270,77,92,760,crushing long opening,https://lichess.org/hg1xugvX#17,Sicilian_Defense Sicilian_Defense_Alapin_Variation
00vf5,r1b1kbnr/1pqp1ppp/p1n1p3/8/2BNP3/P1N5/1PP2PPP/R1BQK2R b KQkq - 0 7,g8e7 d4b5 a6b5 c3b5 c7b8 b5d6,2083,77,92,406,crushing long opening sacrifice,https://lichess.org/DaGWQ4jB/black#14,Sicilian_Defense Sicilian_Defense_Closed
00w0g,rn2kbnr/pp2pp1p/1q2b1p1/3pP3/N2P4/5N2/PP3PPP/R1BQKB1R b KQkq - 3 8,b6b4 c1d2 b4a4 d1a4,1745,83,48,57,crushing defensiveMove opening short trappedPiece,https://lichess.org/iHooJN4n/black#16,Slav_Defense Slav_Defense_Diemer_Gambit
00w6f,rnb1r1k1/pp1p1ppp/1q2pn2/1N6/4P3/B1P2P2/P1P3PP/R2QKB1R w KQ - 5 10,b5d6 b6e3 f1e2 e3c3,1099,77,86,147,advantage opening short,https://lichess.org/1P7Nda81#19,Sicilian_Defense Sicilian_Defense_Pin_Variation
00wPZ,r1b2rk1/ppp2ppp/8/1B1pN3/3bn3/8/PPP2qPP/RNBQR2K w - - 0 12,e5f3 f2g1 f3g1 e4f2,1389,82,87,1129,kingsideAttack mate mateIn2 opening sacrifice short smotheredMate,https://lichess.org/XAwlqpwf#23,Italian_Game Italian_Game_Two_Knights_Defense
00xsd,r1bqkb1r/1p1npp1p/p2p1np1/6B1/3N4/3BP3/PPP2PPP/RN1QK2R w KQkq - 0 8,c2c4 d8a5 b1c3 a5g5,1084,81,92,1466,advantage fork opening short,https://lichess.org/bMxAVfzo#15,Zukertort_Opening Zukertort_Opening_Sicilian_Invitation
00zI4,r2q1rk1/pb3ppp/1p2p3/2nn4/8/P1N1PN2/1P1Q1PPP/1BR1K2R b K - 1 13,c5b3 d2c2 g7g6 c2b3,1742,76,93,357,crushing opening short,https://lichess.org/z6EaD3I9/black#26,Queens_Gambit_Declined Queens_Gambit_Declined_Other_variations
00zNz,r1bqk2r/pp1np1bp/2p3p1/3pNB2/3P1B2/4P3/PPP2PPP/R2QK2R b KQkq - 0 10,g6f5 d1h5 e8f8 h5f7,1318,74,98,1572,mate mateIn2 opening short,https://lichess.org/kZTBqbqj/black#20,Queens_Pawn_Game Queens_Pawn_Game_Accelerated_London_System
0103M,2kr1b1r/pppb1p1p/1q6/4p3/1P1n4/2P1BN2/5PPP/R2QKB1R w KQ - 2 16,c3d4 e5d4 d1d4 f8b4,2160,88,82,55,crushing opening short,https://lichess.org/lHWulFLi#31,Scandinavian_Defense Scandinavian_Defense_Main_Line
010Jc,rnb1k2r/bpqp1pp1/p3p3/7p/4P1n1/1NNB3P/PPP2PP1/R1BQ1R1K w kq - 1 11,d1e2 c7h2,762,85,99,983,master mate mateIn1 oneMove opening,https://lichess.org/zDw0FRz2#21,Sicilian_Defense Sicilian_Defense_Kan_Variation
