00MHi,8/8/5pp1/5k1p/5P1P/4R1P1/2r5/5K2 w - - 0 43,e3e2 c2e2 f1e2 f5g4 e2f2 g4h3,2273,80,73,208,crushing endgame long rookEndgame zugzwang,https://lichess.org/im48PGD7#85,
00Oyf,8/1p6/7p/3k1pp1/1P5P/3K1P2/6P1/8 w - - 0 39,h4g5 h6g5 d3c3 d5e5 c3c4 e5f4 c4c5 f4g3,2619,88,95,104,crushing endgame pawnEndgame veryLong zugzwang,https://lichess.org/eysZBqWU#77,
00SiY,8/8/3p2N1/3Pp1n1/4Pp1p/3k1P1P/6K1/8 w - - 8 57,g6h4 d3e2 h4f5 g5f3,2158,79,91,2224,crushing endgame knightEndgame master short zugzwang,https://lichess.org/nqOd6mWK#113,
00YbG,8/7p/3k2p1/p5P1/P2K4/8/8/8 b - - 4 47,d6c6 d4c4 c6d6 c4b5,1752,80,66,55,crushing endgame pawnEndgame short zugzwang,https://lichess.org/onsKQucl/black#94,
01MNV,8/1p4k1/1p1p4/2p1p2K/P1P1P3/1P1P4/8/8 b - - 0 38,g7f6 h5h6 f6e6 h6g6 e6e7 g6g7,1953,75,89,937,crushing defensiveMove endgame long pawnEndgame zugzwang,https://lichess.org/fFIG7SW1/black#76,
01RvJ,8/8/2pp2kb/p3p3/P1P3NK/2P2P2/8/8 w - - 0 51,g4h6 g6h6 f3f4 h6g6 c4c5 d6d5 h4g4 d5d4 c3d4 e5d4,2620,101,88,121,crushing endgame quietMove veryLong zugzwang,https://lichess.org/cB5tNFFr#101,
01UwB,8/8/8/4kp1p/7P/4K1P1/8/8 b - - 0 45,e5f6 e3f4 f6e6 f4g5 e6e5 g5h5 e5f6 h5h6 f5f4 g3f4,1594,75,68,91,crushing endgame pawnEndgame veryLong zugzwang,https://lichess.org/Ql6y8vnP/black#90,
01bWU,8/4kp2/7p/p2Pp1pP/2p3P1/5K2/PP3P2/8 b - - 2 45,e7d6 f3e4 a5a4 a2a3 f7f6 e4f5 d6d5 f5g6 d5d4 g6h6,2732,84,76,130,advantage endgame pawnEndgame quietMove veryLong zugzwang,https://lichess.org/aUFPa2OM/black#90,
01e9g,8/7p/1p4p1/p1kp1pP1/P4P1P/1PPK4/8/8 b - - 0 32,c5c6 d3d4 c6d6 c3c4 d5c4 b3c4 d6c6 d4e5 c6c5 e5f6 c5c4 f6g7,2437,89,86,120,crushing endgame pawnEndgame veryLong zugzwang,https://lichess.org/q6CYyMnO/black#64,
01ghr,8/8/5k2/6p1/r2RK1P1/5P2/8/8 b - - 51 68,a4d4 e4d4 f6e6 d4e4,1058,78,92,358,crushing defensiveMove endgame short zugzwang,https://lichess.org/KxPFdOcY/black#136,
01iEi,8/8/4pk2/p1p4p/Pp1pKp2/1P1P2PP/2P5/8 w - - 0 38,g3f4 h5h4 f4f5 e6e5 e4d5 f6f5 d5c5 f5f4,2219,158,45,15,crushing defensiveMove endgame pawnEndgame quietMove veryLong zugzwang,https://lichess.org/FMV2YNpv#75,
01jKd,8/8/2p3p1/p1k4p/P3Pp1P/3K1P2/8/8 b - - 1 41,c5b4 e4e5 b4c5 d3e4,1873,79,79,171193,advantage endgame pawnEndgame quietMove short zugzwang,https://lichess.org/phhI7L7I/black#82,
01mBE,8/8/p3p3/3p2p1/1P1Ppk2/2P4P/5P2/5K2 w - - 3 42,f1g2 e6e5 d4e5 f4e5 g2f1 e5f5 f1e1 g5g4 h3h4 f5g6,2786,96,96,151,crushing defensiveMove endgame pawnEndgame veryLong zugzwang,https://lichess.org/HwU6hxlJ#83,
01rio,8/p7/8/2pp4/4kPp1/1K4P1/P1P5/8 b - - 3 35,a7a5 a2a3 e4f5 b3a4,2595,88,55,43,crushing endgame pawnEndgame quietMove short zugzwang,https://lichess.org/DtghQiRc/black#70,
01tUB,8/8/p4k2/P2p3p/3P1K1P/8/8/8 w - - 4 48,f4f3 f6f5 f3e3 f5g4,817,96,85,293,crushing endgame pawnEndgame short zugzwang,https://lichess.org/g3LPb3Po#95,
01vys,8/8/4p1k1/5qp1/8/6QP/5PK1/8 w - - 13 94,g3d6 f5d5 d6d5 e6d5 g2f3 g6f5 f3e3 f5e5 e3d3 d5d4 f2f3 e5d5,2341,86,76,68,crushing defensiveMove endgame master masterVsMaster queenEndgame quietMove veryLong zugzwang,https://lichess.org/1c1XWvJg#187,
01wxe,8/8/4k1p1/1p1p3p/pP3P1P/P1P3K1/8/8 w - - 3 52,g3f3 e6f5 f3e3 f5g4,1323,76,91,738,crushing endgame pawnEndgame short zugzwang,https://lichess.org/tIu8wbe8#103,
0218S,8/8/8/3B4/5ppk/6p1/6K1/8 w - - 2 55,d5e6 f4f3 g2h1 h4h3 e6d5 g3g2 h1g1 h3g3 d5f3 g3f3,2296,75,72,139,advancedPawn bishopEndgame crushing endgame exposedKing veryLong zugzwang,https://lichess.org/t4k1RSvL#109,
02P6P,8/8/p1p5/Pp1p3p/1P1Pk1p1/2P3PP/4K3/8 w - - 0 50,h3g4 h5g4 e2d2 e4f3,737,77,100,877,crushing endgame pawnEndgame short zugzwang,https://lichess.org/kD3HOQhu#99,
02U6o,8/6R1/3Pk1p1/3r4/2K5/6P1/8/8 b - - 16 54,d5d6 g7g6 e6e5 g6d6 e5d6 c4d4 d6e6 d4e4 e6f6 e4f4 f6g6 f4g4,1742,75,96,692,crushing defensiveMove endgame rookEndgame veryLong zugzwang,https://lichess.org/uJwAK8ER/black#108,
02UN2,8/8/3k4/8/p3R2r/P2K4/1P6/8 b - - 8 56,h4e4 d3e4 d6c5 e4e5 c5c4 e5d6,2405,82,78,87,crushing defensiveMove endgame long zugzwang,https://lichess.org/49fy2GPo/black#112,
02Ve6,8/2p3p1/3k1p2/p1p2P2/P3KPP1/1P6/8/8 b - - 0 31,c7c6 e4d3 d6d5 g4g5 c5c4 b3c4 d5c5 d3c3,2648,82,89,199,crushing defensiveMove endgame pawnEndgame veryLong zugzwang,https://lichess.org/MmyLq5fM/black#62,
02ZOs,2R5/8/8/1p6/nk6/1p6/1K6/8 w - - 8 55,b2b1 b4a3 c8c6 b3b2 c6a6 a3b3 a6a4 b3a4 b1b2 a4b4,2479,100,90,315,advancedPawn crushing defensiveMove endgame veryLong zugzwang,https://lichess.org/vCdRWEpI#109,
